execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS,511260.SS,511880.SS
2025-01-02,0.068705730058684883,0.069458183965631054,0.1291601714154558,0.098700075061927087,0.079122562506091218,0.11322836073321255,0.12754561777912216,0.15295504496363999,0.16112425351623527,0,0,0
2025-02-05,0.098429082748175786,0.072743966172597097,0.1238121218150102,0.082727198947691913,0.1081913724498056,0.08083873221787409,0.052402556953688818,0.20257389376029755,0.17828107493485884,0,0,0
2025-03-03,0.11125635446987664,0.083816257020678075,0.10692501131929989,0.074342367000405335,0.082369960403358908,0.078791975398820741,0.04698652309526704,0.18635756883402635,0.2291539824582671,0,0,0
2025-04-01,0.11623637176738107,0.085182833059377613,0.10163778004489121,0.064225542580329281,0.074262506559288802,0.082025201637840911,0.043237853645993189,0.23402572357428184,0.19916618713061615,0,0,0
2025-05-06,0.14608446746460849,0.10582731735703496,0.075658610266295251,0.069830847607480859,0.088346838648919748,0.086835119430336852,0.074034247836768596,0.2219468313223858,0.13143572006616946,0,0,0
2025-06-03,0.14610289972079149,0.1071361158968161,0.076057813238988317,0.071504303571048491,0.092169750915873344,0.088808376950249165,0.073959186719568179,0.21663552946821438,0.12762602351845045,0,0,0
2025-07-01,0.14728605104140355,0.10369414587191585,0.074850119208495394,0.073450687897832073,0.094049898734896623,0.086720363690898639,0.075214876862500696,0.21834867208681413,0.12638518460524301,0,0,0
2025-08-01,0.11941022714420185,0.09386596627345821,0.12045135154576074,0.10171893419883203,0.074213248726777023,0.099993488748292905,0.06439600056691977,0.20153019284809587,0.12442058994766167,0,0,0
2025-09-01,0.094369770021393268,0.082607083014415314,0.11436695236480868,0.10003062553869289,0.066495760301005999,0.069212387218656468,0.07481490005230472,0.26539489502177749,0.13270762646694509,0,0,0
2025-10-09,0.089923646527021617,0.071262846338035479,0.12564191747160725,0.1086358683023628,0.07518134809389386,0.086085477317105238,0.096983339136949648,0.17647133201484802,0.16981422479817615,0,0,0
2025-11-03,0.099837731180310099,0.077656567499928483,0.12832926510160395,0.10704626397759234,0.10329259112710953,0.068300932341095327,0.13253359362354328,0.15209522103857639,0.13090783411024057,0,0,0
2025-12-01,0.11501182137409705,0.085927283016286743,0.11187102079311957,0.088453937768612767,0.10922781832350641,0.068831900673431035,0.13045442809995406,0.14122458104567456,0.14899720890531773,0,0,0
2026-01-05,0.12941254502013794,0.098055984472430607,0.11237953146117183,0.085060423813323405,0.11323077116378517,0.067976426174865753,0.13242013366028149,0.1393711631708662,0.12209302106313771,0,0,0
2026-02-02,0.15038730175234521,0.10362015803340009,0.15075461078758653,0.099050054875773078,0.096879093696338001,0.089607768740188665,0.12715332320549536,0.094351792688971967,0.088195896219901246,0,0,0
2026-03-02,0.15277331269799374,0.088182157265584205,0.16184560718685145,0.13363176570948093,0.11129796884604537,0.093717823237762607,0.14426895662869074,0.056981171785799152,0.057301236641791771,0,0,0
2026-04-01,0.1586809062602868,0.094051286065585563,0.16384500730411203,0.13996841838144641,0.11856151345110116,0.088872144512833873,0.095301399900881975,0.058369302405269718,0.082350021718482547,0,0,0
2026-05-06,0.15722745231289167,0.10016755483021068,0.14589710570519707,0.11349843653743745,0.13611151469077562,0.083046296360938868,0.094395843016739811,0.066246161450423988,0.10340963509538478,0,0,0
2026-06-01,0.14582146810309993,0.099958583538587178,0.12933649318137436,0.09459819511346157,0.13969665007207713,0.068704001887192348,0.080550639591591075,0.085016740576809566,0.15631722793580688,0,0,0
2026-07-01,0.12790608023101802,0.09951527243301167,0.1221683153970952,0.075130176456267489,0.14180215295759721,0.059280484063002847,0.10543330976442053,0.11258380747054543,0.15618040122704155,0,0,0
2026-08-03,0.10098094942417107,0.076832940121938059,0.12780649104544886,0.079303655244204144,0.15176212841884229,0.054943165177880796,0.12512731923112994,0.12468623087254271,0.15855712046384218,0,0,0
